Entry	AlphaFoldDB	PDB	Ensembl	EnsemblBacteria	EnsemblFungi	EnsemblProtists
A0A0S2Z5J4	A0A0S2Z5J4;					
A0A0S2Z5U8	A0A0S2Z5U8;					
A0A0S2Z5X4	A0A0S2Z5X4;					
A0A0U1RQF0			ENST00000634990.1;			
A0A0U1RQT7	A0A0U1RQT7;		ENST00000635142.1;			
A0A0U1RQV4	A0A0U1RQV4;		ENST00000635540.2;			
A0A0U1RRE5	A0A0U1RRE5;		ENST00000374922.9;ENST00000423617.2;ENST00000637096.1;			
A0A0U2N547			ENST00000686011.1;			
A0A140VJC8	A0A140VJC8;					
A0A140VJE4	A0A140VJE4;					
A0A140VJG8	A0A140VJG8;					
A0A140VJJ0	A0A140VJJ0;					
A0A140VJL2	A0A140VJL2;					
A0A140VJL3	A0A140VJL3;					
A0A140VJL9	A0A140VJL9;					
A0A140VJM0	A0A140VJM0;					
A0A140VJU3	A0A140VJU3;					
A0A140VK09	A0A140VK09;					
A0A140VK13	A0A140VK13;					
A0A140VKC4	A0A140VKC4;					
A0A141AXF0	A0A141AXF0;					
A0A141AXF1	A0A141AXF1;					
A0A141AXF3	A0A141AXF3;					
A0A141AXF4	A0A141AXF4;					
A0A141AXF5	A0A141AXF5;					
A0A141AXF7	A0A141AXF7;					
A0A141AXF8	A0A141AXF8;					
A0A1B0GTB8	A0A1B0GTB8;		ENST00000636867.1;			
A0A1B0GTW7	A0A1B0GTW7;		ENST00000637218.2 [A0A1B0GTW7-1];ENST00000644000.1 [A0A1B0GTW7-2];			
A0A1B0GV75	A0A1B0GV75;		ENST00000636891.1;			
A0A1B0GVF3	A0A1B0GVF3;		ENST00000637252.1;			
A0A1B0GWC0	A0A1B0GWC0;		ENST00000635862.1;			
A0A1B0GWI1	A0A1B0GWI1;		ENST00000411796.6;			
A0A1B0RPQ4	A0A1B0RPQ4;					
A0A1B1RVA9	A0A1B1RVA9;					
A0A1L1UHR1	A0A1L1UHR1;					
A0A1U9X797	A0A1U9X797;					
A0A1U9X8X8	A0A1U9X8X8;					
A0A218KGR2	A0A218KGR2;					
A0A2P9DU05						
A0A2R8Y4I8	A0A2R8Y4I8;		ENST00000642455.1;			
A0A2R8Y8E0	A0A2R8Y8E0;		ENST00000644969.2;			
A0A2R8YDP5	A0A2R8YDP5;		ENST00000646730.1;			
A0A2U3TZI2	A0A2U3TZI2;		ENST00000288602.11;			
A0A2U3TZR0	A0A2U3TZR0;		ENST00000621856.2;			
A0A2X0SFG1	A0A2X0SFG1;					
A0A348GSI3	A0A348GSI3;					
A0A384MDW3	A0A384MDW3;					
A0A384MDY0	A0A384MDY0;					
A0A384ME25	A0A384ME25;					
A0A384MED8	A0A384MED8;					
A0A384MR07	A0A384MR07;					
A0A384N611	A0A384N611;					
A0A384N647	A0A384N647;					
A0A384NL29	A0A384NL29;					
A0A384NY87	A0A384NY87;					
A0A384P5C6	A0A384P5C6;					
A0A384P5H7	A0A384P5H7;					
A0A384P5Q0	A0A384P5Q0;					
A0A386NCS8	A0A386NCS8;					
A0A3B3IRX2	A0A3B3IRX2;		ENST00000649436.1;			
A0A3B3IRY8	A0A3B3IRY8;		ENST00000647596.1;			
A0A3B3IS53			ENST00000648335.1;			
A0A3B3IS73	A0A3B3IS73;		ENST00000647838.1;ENST00000648899.1;			
A0A3B3ISD1			ENST00000649678.1;ENST00000683815.1;			
A0A3B3ISD5	A0A3B3ISD5;		ENST00000647666.1;ENST00000649924.1;			
A0A3B3ISF5	A0A3B3ISF5;		ENST00000648159.1;ENST00000648955.1;			
A0A3B3ISI1			ENST00000648048.1;ENST00000648135.1;			
A0A3B3ISW3	A0A3B3ISW3;		ENST00000647786.1;ENST00000649657.1;			
A0A3B3ISY9	A0A3B3ISY9;		ENST00000648395.1;			
A0A3B3ISZ0	A0A3B3ISZ0;		ENST00000650006.1;			
A0A3B3IT19	A0A3B3IT19;		ENST00000648639.1;ENST00000650232.1;			
A0A3B3IT63	A0A3B3IT63;		ENST00000647637.1;ENST00000648246.1;			
A0A3B3ITA4	A0A3B3ITA4;		ENST00000649533.1;ENST00000650048.1;			
A0A3B3ITD0	A0A3B3ITD0;		ENST00000649914.1;			
A0A3B3ITI0	A0A3B3ITI0;		ENST00000648370.1;ENST00000649483.1;			
A0A3B3ITI3			ENST00000649817.1;			
A0A3B3IU93	A0A3B3IU93;		ENST00000648502.1;ENST00000649375.1;			
A0A3B3IUA4	A0A3B3IUA4;		ENST00000648483.1;ENST00000648699.1;			
A0A3F2YNX6			ENST00000406337.6;			
A0A499FJK2	A0A499FJK2;		ENST00000221930.6;			
A0A5F9ZH41			ENST00000672860;			
A0A5P8NAS4	A0A5P8NAS4;					
A0A5S6RJB7	A0A5S6RJB7;		ENST00000369058.7;			
A0A654IBU3	A0A654IBU3;					
A0A669KB12			ENST00000674155.1;			
A0A6G6A825	A0A6G6A825;					
A0A6I8PRU0			ENST00000674500.2;			
A0A6Q8PF08			ENST00000395938.7;ENST00000674947.1;			
A0A6Q8PHB5	A0A6Q8PHB5;		ENST00000675645.1;			
A0A6Q8PHP0	A0A6Q8PHP0;		ENST00000674860.1;			
A0A7I2PJA1			ENST00000361492.9;			
A0A7I2R3P8			ENST00000336119.8;ENST00000391828.8;ENST00000697350.1;			
A0A7I2RW32	A0A7I2RW32;		ENST00000412135.7;			
A0A7I2SVS4	A0A7I2SVS4;		ENST00000543185.6;			
A0A7P0T828	A0A7P0T828;		ENST00000681605.1;			
A0A7U3JW18	A0A7U3JW18;					
A0A7U3L6D0	A0A7U3L6D0;					
A0A8C8L3F5			ENST00000433418.6;			
A0A8I5KW96			ENST00000418260.3;			
A0A8I5KZ76			ENST00000689314.1;			
A0A8I5KZC4			ENST00000692848.2;			
A0A8I5QJL1			ENST00000691686.1;			
A0A8I5QJV9			ENST00000692015.1;			
A0A8Q3SHM6			ENST00000695368.1;			
A0A8V8TPK6			ENST00000700029.2;ENST00000710393.1;			
A0A8V8TQ23			ENST00000700751.1;			
A0A8V8TQL1			ENST00000700752.1;			
A0A8V8TQX2			ENST00000700021.1;ENST00000710390.1;			
A0A8V8TRF3			ENST00000700750.1;			
A0AAG2UV77			ENST00000709157.1;			
A0AAQ5BGQ0			ENST00000713716.1;			
A0AAQ5BH13			ENST00000713839.1;			
A0AV02	A0AV02;		ENST00000393469.8 [A0AV02-1];ENST00000430155.6 [A0AV02-3];ENST00000469902.6 [A0AV02-1];			
A0AV96	A0AV96;	2DIS;	ENST00000295971.12 [A0AV96-1];ENST00000381793.6 [A0AV96-1];ENST00000381795.10 [A0AV96-2];			
A0AVF1	A0AVF1;		ENST00000343187.8 [A0AVF1-3];ENST00000430935.5 [A0AVF1-2];ENST00000464848.5 [A0AVF1-1];			
A0AVG3			ENST00000307180.4;ENST00000520166.5;			
A0AVI4	A0AVI4;		ENST00000303277.6 [A0AVI4-2];ENST00000382936.8 [A0AVI4-1];			
A0AVK6	A0AVK6;	4YO2;	ENST00000250024.9;ENST00000527884.5;ENST00000620009.4;			
A0AVT1	A0AVT1;	7PVN;7PYV;7SOL;	ENST00000322244.10 [A0AVT1-1];ENST00000420827.2 [A0AVT1-3];			
A0FGR8	A0FGR8;	2DMG;4NPJ;4NPK;4P42;	ENST00000652148.1 [A0FGR8-2];			
A0FGR9	A0FGR9;		ENST00000389567.9 [A0FGR9-1];ENST00000490835.5 [A0FGR9-2];			
A0JLT2	A0JLT2;	7EMF;7ENA;7ENC;7ENJ;7LBM;7NVR;8GXQ;8GXS;8TQW;8TRH;	ENST00000337672.9 [A0JLT2-2];ENST00000645681.2 [A0JLT2-2];			
A0JNW5	A0JNW5;		ENST00000279907.12 [A0JNW5-1];ENST00000356828.7 [A0JNW5-2];			
A0JP26	A0JP26;		ENST00000611217.5 [A0JP26-1];ENST00000612601.2 [A0JP26-2];ENST00000710712.1 [A0JP26-2];			
A0M8Q6	A0M8Q6;					
A0MZ66	A0MZ66;		ENST00000260777.14 [A0MZ66-5];ENST00000355371.9 [A0MZ66-1];ENST00000392901.10 [A0MZ66-8];ENST00000392903.3 [A0MZ66-4];ENST00000615301.4 [A0MZ66-2];			
A0MZF5	A0MZF5;					
A0N0X8	A0N0X8;					
A0PJK1	A0PJK1;		ENST00000317977.10 [A0PJK1-3];ENST00000395643.6 [A0PJK1-2];ENST00000395645.4 [A0PJK1-1];ENST00000395647.6 [A0PJK1-4];ENST00000417251.6 [A0PJK1-5];			
A0PJY2	A0PJY2;		ENST00000427185.2 [A0PJY2-2];ENST00000442488.7 [A0PJY2-1];			
A0PK00	A0PK00;	7F73;	ENST00000342607.10;ENST00000449592.7;			
A0PK11	A0PK11;		ENST00000511148.2;			
A1A4E9	A1A4E9;					
A1A4S6	A1A4S6;	2MIO;	ENST00000336498.8;			
A1A4Y4	A1A4Y4;		ENST00000522154.2 [A1A4Y4-1];			
A1A519	A1A519;		ENST00000335286.10 [A1A519-2];ENST00000379555.7 [A1A519-3];ENST00000695508.1 [A1A519-1];			
A1A5B4	A1A5B4;		ENST00000332826.7 [A1A5B4-1];			
A1A5C7	A1A5C7;		ENST00000380298.2 [A1A5C7-4];ENST00000380302.8 [A1A5C7-2];ENST00000406686.8 [A1A5C7-1];ENST00000490273.5 [A1A5C7-2];			
A1E959	A1E959;		ENST00000396094.6;ENST00000683306.1;			
A1KXE4	A1KXE4;		ENST00000389915.4 [A1KXE4-1];ENST00000409185.5 [A1KXE4-1];			
A1KZ92	A1KZ92;		ENST00000356297.5 [A1KZ92-1];			
A1L0T0	A1L0T0;		ENST00000263383.8;			
A1L167	A1L167;		ENST00000399816.4;ENST00000708565.1;			
A1L190	A1L190;	6H86;	ENST00000402753.1;ENST00000406915.4;			
A1L390	A1L390;		ENST00000247226.13 [A1L390-1];ENST00000394691.7 [A1L390-3];			
A1L3X0	A1L3X0;	6Y7F;	ENST00000425382.5;ENST00000508821.6;			
A1L4H1	A1L4H1;		ENST00000389623.11 [A1L4H1-1];ENST00000587166.5 [A1L4H1-2];			
A1L4K1	A1L4K1;		ENST00000334574.12 [A1L4K1-1];ENST00000541889.1 [A1L4K1-2];			
A1X283	A1X283;		ENST00000311601.6;			
A1XBS5	A1XBS5;	8CEG;	ENST00000423990.6 [A1XBS5-2];ENST00000452913.6 [A1XBS5-3];ENST00000518116.5 [A1XBS5-4];ENST00000518322.6 [A1XBS5-1];			
A1Z1Q3	A1Z1Q3;	4IQY;6Y4Y;6Y4Z;6Y73;	ENST00000217246.8 [A1Z1Q3-2];ENST00000402914.5 [A1Z1Q3-4];ENST00000407045.3 [A1Z1Q3-6];ENST00000684519.1 [A1Z1Q3-1];			
A2A288	A2A288;		ENST00000409806.8 [A2A288-1];			
A2A2Y4	A2A2Y4;		ENST00000304195.8 [A2A2Y4-1];ENST00000328788.5 [A2A2Y4-4];ENST00000376434.5 [A2A2Y4-3];ENST00000376438.5 [A2A2Y4-2];ENST00000621208.4 [A2A2Y4-5];			
A2BDD9	A2BDD9;					
A2BDE7	A2BDE7;					
A2I2P0	A2I2P0;					
A2IDD5	A2IDD5;		ENST00000293889.10 [A2IDD5-1];			
A2PYH4	A2PYH4;		ENST00000370425.8 [A2PYH4-1];			
A2RRN7	A2RRN7;					
A2RRP1	A2RRP1;		ENST00000281513.10 [A2RRP1-1];			
A2RTX5	A2RTX5;		ENST00000335968.8 [A2RTX5-1];			
A2RU14	A2RU14;		ENST00000279968.8;ENST00000526175.5;ENST00000527271.5;ENST00000527766.5;ENST00000529583.5;ENST00000531909.5;ENST00000532407.5;ENST00000682305.1;			
A2RU30	A2RU30;		ENST00000316577.12 [A2RU30-1];ENST00000449076.6 [A2RU30-1];ENST00000524622.5 [A2RU30-2];ENST00000531122.5 [A2RU30-2];ENST00000532804.5 [A2RU30-2];			
A2RU49	A2RU49;		ENST00000388988.9 [A2RU49-1];ENST00000408962.6 [A2RU49-3];ENST00000563233.2 [A2RU49-3];ENST00000566289.5 [A2RU49-2];ENST00000569878.5 [A2RU49-1];			
A2RUB1	A2RUB1;		ENST00000409122.7 [A2RUB1-4];ENST00000409464.1 [A2RUB1-1];			
A2RUB6	A2RUB6;		ENST00000326595.11 [A2RUB6-3];ENST00000394672.8 [A2RUB6-1];			
A2RUC4	A2RUC4;	3AL5;3AL6;	ENST00000354611.9 [A2RUC4-1];			
A2RUH7	A2RUH7;		ENST00000357155.2 [A2RUH7-1];			
A2VDJ0	A2VDJ0;		ENST00000409663.7 [A2VDJ0-1];ENST00000409959.8 [A2VDJ0-5];			
A2VEC9						
A3KFJ0	A3KFJ0;		ENST00000395907.5;			
A3KFJ1	A3KFJ1;		ENST00000420474.5;			
A3KMH1	A3KMH1;		ENST00000281496.6 [A3KMH1-2];ENST00000379310.8 [A3KMH1-1];			
A3QNQ0	A3QNQ0;					
A4D0S4	A4D0S4;		ENST00000205386.8 [A4D0S4-1];ENST00000388781.8 [A4D0S4-1];			
A4D0Y8	A4D0Y8;					
A4D126	A4D126;	4CVH;	ENST00000399310.3 [A4D126-2];ENST00000407010.7 [A4D126-1];			
A4D161	A4D161;		ENST00000344962.9 [A4D161-1];ENST00000409192.7 [A4D161-2];ENST00000409994.3 [A4D161-3];			
A4D1B1	A4D1B1;					
A4D1B5	A4D1B5;		ENST00000257626.12 [A4D1B5-1];			
A4D1E9	A4D1E9;	7OI6;8PK0;	ENST00000222511.11 [A4D1E9-1];ENST00000257659.12 [A4D1E9-2];ENST00000380058.7 [A4D1E9-3];			
A4D1P6	A4D1P6;	6VYC;8KB8;8KB9;8SHJ;8T55;9DTA;9DTB;	ENST00000354475.5 [A4D1P6-1];ENST00000684339.1 [A4D1P6-2];			
A4D1T9	A4D1T9;		ENST00000350549.8;ENST00000438520.1;			
A4D1U5	A4D1U5;					
A4D1W7	A4D1W7;					
A4D256	A4D256;		ENST00000650262.2;			
A4D2B0	A4D2B0;	4V0H;	ENST00000398075.4;			
A4D2B8	A4D2B8;					
A4F3V8			ENST00000566503.1;			
A4F4K3	A4F4K3;					
A4F4K4	A4F4K4;					
A4FUJ8	A4FUJ8;					
A4GXA9	A4GXA9;	7F6L;	ENST00000568449.7 [A4GXA9-1];			
A4LAA3						
A4QPA9	A4QPA9;					
A4UGR9		4F14;	ENST00000409043.5 [A4UGR9-4];ENST00000409195.6 [A4UGR9-8];ENST00000409273.6 [A4UGR9-2];ENST00000409605.1 [A4UGR9-7];ENST00000409728.5 [A4UGR9-6];ENST00000628543.2 [A4UGR9-1];			
A5A3E0	A5A3E0;		ENST00000409914.7;			
A5D8T8	A5D8T8;		ENST00000288040.11 [A5D8T8-1];ENST00000393701.6 [A5D8T8-1];ENST00000568461.5 [A5D8T8-1];ENST00000615430.4 [A5D8T8-1];			
A5D8V6	A5D8V6;		ENST00000301765.10;			
A5D8V7	A5D8V7;	8J07;	ENST00000356392.9 [A5D8V7-1];			
A5D8W1	A5D8W1;		ENST00000389297.8 [A5D8W1-1];ENST00000451029.5 [A5D8W1-3];ENST00000497910.5 [A5D8W1-5];			
A5LHX3	A5LHX3;		ENST00000408907.5;			
A5PKU2	A5PKU2;					
A5PKW4	A5PKW4;		ENST00000020673.6 [A5PKW4-1];ENST00000406432.5 [A5PKW4-1];ENST00000611678.4 [A5PKW4-2];			
A5PLL3			ENST00000485568.5;			
A5PLL7	A5PLL7;		ENST00000371650.9 [A5PLL7-2];ENST00000371652.9 [A5PLL7-1];			
A5X5Y0	A5X5Y0;		ENST00000335304.6 [A5X5Y0-3];ENST00000415389.6 [A5X5Y0-1];ENST00000425359.6 [A5X5Y0-2];ENST00000436361.6 [A5X5Y0-4];ENST00000440596.2 [A5X5Y0-6];			
A5YKK6	A5YKK6;	4C0D;4CQO;4CRU;4CRV;4CRW;4CT4;4CT6;4CT7;4GMJ;4GML;4J8S;5ANR;5FU6;5FU7;5ONA;7VOI;8BFI;8FY3;	ENST00000317147.10 [A5YKK6-1];ENST00000441024.6 [A5YKK6-4];ENST00000567188.5 [A5YKK6-3];ENST00000569240.5 [A5YKK6-2];			
A5YM40	A5YM40;					
A5YM72	A5YM72;		ENST00000307823.7 [A5YM72-1];ENST00000445895.2 [A5YM72-5];ENST00000531040.5 [A5YM72-4];ENST00000687366.1 [A5YM72-5];			
A6BM72	A6BM72;		ENST00000288745.7 [A6BM72-2];ENST00000409699.6 [A6BM72-1];ENST00000422354.6 [A6BM72-1];			
A6H8L5	A6H8L5;					
A6H8Y1	A6H8Y1;	5N9G;8ITY;8IUE;8IUH;	ENST00000358731.9 [A6H8Y1-1];ENST00000617085.4 [A6H8Y1-1];			
A6H8Z2	A6H8Z2;		ENST00000388950.8 [A6H8Z2-3];ENST00000423537.7 [A6H8Z2-1];			
A6NC98	A6NC98;		ENST00000301897.5 [A6NC98-6];ENST00000356786.10 [A6NC98-1];			
A6NCS4	A6NCS4;		ENST00000325017.4;			
A6ND01	A6ND01;	5F4E;5F4Q;5JKA;5JKB;5JKC;5JKD;5JKE;	ENST00000328458.6 [A6ND01-1];ENST00000440961.6 [A6ND01-2];ENST00000687084.1 [A6ND01-1];			
A6ND36	A6ND36;		ENST00000388995.11 [A6ND36-1];			
A6NDB9	A6NDB9;		ENST00000340790.9;ENST00000672551.1;			
A6NDE4	A6NDE4;		ENST00000383020.7;			
A6NDG6	A6NDG6;		ENST00000333503.8;			
A6NDV4	A6NDV4;		ENST00000377988.6 [A6NDV4-1];ENST00000377991.9 [A6NDV4-1];ENST00000377996.5 [A6NDV4-2];ENST00000439587.6 [A6NDV4-2];ENST00000650015.1 [A6NDV4-1];			
A6NED2	A6NED2;	6F4R;6F4S;6F4T;	ENST00000394258.7;ENST00000556618.1;			
A6NEM1	A6NEM1;		ENST00000618348.2 [A6NEM1-1];ENST00000620574.2;			
A6NFA1	A6NFA1;		ENST00000606738.3;			
A6NFQ2	A6NFQ2;		ENST00000357344.9 [A6NFQ2-2];ENST00000411935.5 [A6NFQ2-3];ENST00000425618.3 [A6NFQ2-3];ENST00000441159.7 [A6NFQ2-1];ENST00000444908.7 [A6NFQ2-2];ENST00000643242.1 [A6NFQ2-2];ENST00000684770.1 [A6NFQ2-1];			
A6NFX1	A6NFX1;		ENST00000338315.6;			
A6NFY7	A6NFY7;		ENST00000378887.4;			
A6NGG8	A6NGG8;	7LXF;	ENST00000331664.6;			
A6NGQ2	A6NGQ2;		ENST00000370359.6;			
A6NGQ3			ENST00000570156.7;			
A6NGU5	A6NGU5;					
A6NHL2	A6NHL2;		ENST00000380419.8 [A6NHL2-1];ENST00000479328.1 [A6NHL2-2];			
A6NHR9	A6NHR9;	6MW7;	ENST00000320876.11 [A6NHR9-1];			
A6NHX0	A6NHX0;		ENST00000616305.2;			
A6NI15	A6NI15;		ENST00000281047.4;			
A6NI61	A6NI61;		ENST00000339996.4;			
A6NI73	A6NI73;	2D3V;	ENST00000432233.8 [A6NI73-1];ENST00000486742.2 [A6NI73-2];ENST00000611164.4 [A6NI73-2];ENST00000612266.4 [A6NI73-4];ENST00000612621.4 [A6NI73-1];ENST00000613559.1 [A6NI73-3];ENST00000614299.4 [A6NI73-2];ENST00000615820.1 [A6NI73-2];ENST00000616133.1 [A6NI73-4];ENST00000618711.4 [A6NI73-1];ENST00000619516.3 [A6NI73-4];ENST00000620091.4 [A6NI73-1];ENST00000620692.4 [A6NI73-3];ENST00000620898.4 [A6NI73-2];ENST00000621042.4 [A6NI73-1];ENST00000621482.2 [A6NI73-3];			
A6NIH7	A6NIH7;	7OK6;7OK7;	ENST00000344651.5;			
A6NIX2	A6NIX2;		ENST00000590071.7;			
A6NJ46	A6NJ46;		ENST00000518699.4 [A6NJ46-1];ENST00000524115.2 [A6NJ46-2];			
A6NJ78	A6NJ78;	7PNX;7PNY;7PNZ;8IPI;8IPK;8IPL;8IPM;8QRL;	ENST00000303459.10 [A6NJ78-2];ENST00000406787.7 [A6NJ78-4];ENST00000407364.8 [A6NJ78-1];ENST00000437814.1 [A6NJ78-3];			
A6NK06	A6NK06;	6R6U;	ENST00000377462.6;			
A6NK58	A6NK58;		ENST00000310109.5;			
A6NK89	A6NK89;		ENST00000529419.3;			
A6NKB5	A6NKB5;		ENST00000258229.14 [A6NKB5-1];ENST00000344698.6 [A6NKB5-3];			
A6NKF2	A6NKF2;		ENST00000378909.4;			
A6NMZ7	A6NMZ7;		ENST00000358511.11 [A6NMZ7-1];			
A6NNB3	A6NNB3;		ENST00000382614.2;			
A6NNM8	A6NNM8;		ENST00000438251.3 [A6NNM8-1];			
A6NNN8	A6NNN8;		ENST00000299709.8;			
A6NNY8	A6NNY8;		ENST00000621775.2;			
A6NNZ2	A6NNZ2;		ENST00000308911.9;			
A6PVC2	A6PVC2;					
A6YR18	A6YR18;					
A7E2B6						
A7E2V4	A7E2V4;		ENST00000398706.6 [A7E2V4-4];ENST00000605216.5 [A7E2V4-1];			
A7E2Y1	A7E2Y1;		ENST00000262873.13 [A7E2Y1-4];			
A7KAX9	A7KAX9;	3IUG;	ENST00000310343.13 [A7KAX9-1];ENST00000392657.7 [A7KAX9-2];ENST00000527272.1 [A7KAX9-2];			
A7MCY6	A7MCY6;		ENST00000361722.7 [A7MCY6-1];ENST00000578982.6 [A7MCY6-1];			
A7MD48	A7MD48;		ENST00000267260.5;			
A7XYQ1	A7XYQ1;		ENST00000317357.10;			
A8CG34	A8CG34;		ENST00000607367.5 [A8CG34-1];ENST00000615331.5 [A8CG34-2];			
A8K0Z3	A8K0Z3;		ENST00000442898.5;ENST00000696149.1;			
A8K1Z7	A8K1Z7;					
A8K2S1	A8K2S1;					
A8K2T7	A8K2T7;					
A8K2U0	A8K2U0;	7Q1Y;7Q5Z;7Q60;7Q61;7Q62;	ENST00000299698.12 [A8K2U0-1];ENST00000539547.5 [A8K2U0-2];			
A8K3H3	A8K3H3;					
A8K3M3	A8K3M3;					
A8K4G0	A8K4G0;		ENST00000392621.6;ENST00000709208.1;			
A8K571	A8K571;					
A8K602	A8K602;					
A8K660	A8K660;					
A8K6K2	A8K6K2;					
A8K7I4	A8K7I4;	6PYO;6PYX;	ENST00000234701.7;ENST00000394711.2;			
A8K830	A8K830;		ENST00000398035.6 [A8K830-1];ENST00000526216.1 [A8K830-1];ENST00000610738.6 [A8K830-5];ENST00000614153.4 [A8K830-1];ENST00000638573.1 [A8K830-4];			
A8K8P3	A8K8P3;	2K2I;	ENST00000400288.7 [A8K8P3-1];ENST00000400289.5 [A8K8P3-3];ENST00000432498.5 [A8K8P3-2];ENST00000540643.5 [A8K8P3-9];			
A8K8V0	A8K8V0;		ENST00000395216.3 [A8K8V0-1];ENST00000470110.2 [A8K8V0-2];			
A8K8W7	A8K8W7;					
A8KAM8	A8KAM8;					
A8MPY1	A8MPY1;		ENST00000472788.6;			
A8MQ03	A8MQ03;		ENST00000650725.2;			
A8MQ27	A8MQ27;		ENST00000369800.6 [A8MQ27-1];ENST00000520919.5 [A8MQ27-3];ENST00000522853.5 [A8MQ27-2];			
A8MT69	A8MT69;	4DRA;4DRB;4E44;4E45;4NDY;4NE1;4NE3;4NE5;4NE6;7R5S;7XHN;7XHO;7YWX;	ENST00000306704.10 [A8MT69-2];ENST00000392359.8 [A8MT69-1];ENST00000580435.5 [A8MT69-3];			
A8MTA8	A8MTA8;	7UNG;8J07;	ENST00000399742.7 [A8MTA8-1];ENST00000447837.1 [A8MTA8-2];			
A8MTJ3	A8MTJ3;	8VY9;8XQP;8YKY;	ENST00000398291.4;			
A8MTJ6	A8MTJ6;		ENST00000428390.3;			
A8MTQ0	A8MTQ0;		ENST00000398468.4;			
A8MTZ0	A8MTZ0;	6XT9;	ENST00000423273.5 [A8MTZ0-3];ENST00000436562.1 [A8MTZ0-2];ENST00000447005.5 [A8MTZ0-2];ENST00000448814.7 [A8MTZ0-1];ENST00000454061.5 [A8MTZ0-4];ENST00000605742.5 [A8MTZ0-1];ENST00000651952.1 [A8MTZ0-2];ENST00000652043.1 [A8MTZ0-1];ENST00000652396.1 [A8MTZ0-2];ENST00000652400.1 [A8MTZ0-2];			
A8MU46	A8MU46;		ENST00000527972.6;			
A8MUP2	A8MUP2;		ENST00000532971.2;			
A8MV65	A8MV65;		ENST00000383698.3 [A8MV65-2];ENST00000398399.7 [A8MV65-1];			
A8MVW5	A8MVW5;		ENST00000341723.8 [A8MVW5-2];ENST00000394468.7 [A8MVW5-1];ENST00000453812.2 [A8MVW5-3];			
