Entry	AlphaFoldDB	PDB	Ensembl
A0A5K7RLP0	A0A5K7RLP0;		ENSMUST00000141380.3 [A0A5K7RLP0-2];
A0A654ICD2	A0A654ICD2;		
A0A6G6A824	A0A6G6A824;		
A0A6G7SEK5	A0A6G7SEK5;		
A0A6G7SF19	A0A6G7SF19;		
A0A7R8GUQ3	A0A7R8GUQ3;		
A0A9Y0B4B2			
A0AA74KSS6			ENSMUST00000249615.1;
A0AA74KT59			ENSMUST00000249436.1;
A0AUV4	A0AUV4;		
A0JNT9	A0JNT9;	6F1T;6F1U;6ZNM;7Z8F;7Z8I;7Z8J;7Z8K;7Z8M;	ENSMUST00000055408.13 [A0JNT9-1];
A0JNU3	A0JNU3;		ENSMUST00000079400.6;
A1A546	A1A546;		ENSMUST00000034034.10 [A1A546-1];ENSMUST00000174427.2 [A1A546-2];
A1A547	A1A547;		ENSMUST00000047660.5;
A1E960	A1E960;		ENSMUST00000113274.3;ENSMUST00000129757.9;
A1KXC4	A1KXC4;		
A1L314	A1L314;	6SB1;6SB3;6SB4;6SB5;8A1D;8A1S;	
A1L3P4	A1L3P4;		ENSMUST00000077741.12;
A1Y9I9	A1Y9I9;		ENSMUST00000106969.9;ENSMUST00000106970.3;
A1YYM3	A1YYM3;		
A1YYM4	A1YYM4;		
A1YYM5	A1YYM5;		
A1YYM6	A1YYM6;		
A1YYM7	A1YYM7;		
A1YYM8	A1YYM8;		
A1YYM9	A1YYM9;		
A1YYN0	A1YYN0;		
A1YYN1	A1YYN1;		
A1YYN2	A1YYN2;		
A1YYN5	A1YYN5;		
A1YYN6	A1YYN6;		
A1YYN7	A1YYN7;		
A1YYN9	A1YYN9;		
A1YYP0	A1YYP0;		
A1YYP1	A1YYP1;		
A1Z198	A1Z198;		ENSMUST00000094046.5 [A1Z198-2];ENSMUST00000108514.10 [A1Z198-1];ENSMUST00000108515.9 [A1Z198-1];ENSMUST00000108516.9 [A1Z198-2];ENSMUST00000136493.8 [A1Z198-3];
A2A259	A2A259;	5Z1W;7D7E;7D7F;	ENSMUST00000042026.5;
A2A432	A2A432;		ENSMUST00000050083.6 [A2A432-1];ENSMUST00000115118.8 [A2A432-1];
A2A4P0	A2A4P0;		ENSMUST00000039152.14;
A2A5K6	A2A5K6;		ENSMUST00000041361.14;
A2A5N8	A2A5N8;		ENSMUST00000035751.12;
A2A5R2	A2A5R2;		ENSMUST00000099078.10;
A2A5Z6	A2A5Z6;		ENSMUST00000092517.9 [A2A5Z6-1];ENSMUST00000103067.10 [A2A5Z6-2];
A2A6C4	A2A6C4;		ENSMUST00000059448.8 [A2A6C4-2];ENSMUST00000107000.2 [A2A6C4-1];
A2A6Q5	A2A6Q5;		ENSMUST00000093923.9 [A2A6Q5-1];ENSMUST00000106962.9 [A2A6Q5-3];
A2A7Q9	A2A7Q9;		ENSMUST00000030584.11;
A2A813	A2A813;		ENSMUST00000105676.8;
A2A815	A2A815;		ENSMUST00000128075.8;
A2A825	A2A825;	7Q3E;	ENSMUST00000097813.3;
A2A848	A2A848;		ENSMUST00000148601.2;
A2A863	A2A863;		ENSMUST00000068981.13 [A2A863-2];ENSMUST00000106458.2 [A2A863-1];ENSMUST00000106460.9 [A2A863-3];ENSMUST00000106461.8 [A2A863-1];
A2A884	A2A884;		ENSMUST00000106307.9;ENSMUST00000166542.3;
A2A8L1	A2A8L1;		ENSMUST00000005175.5;
A2A8L5	A2A8L5;	3PXH;6X39;	ENSMUST00000049074.13;
A2A8U2	A2A8U2;		ENSMUST00000054459.11 [A2A8U2-3];ENSMUST00000103208.2 [A2A8U2-2];ENSMUST00000105687.9 [A2A8U2-1];
A2A935	A2A935;		ENSMUST00000030902.13 [A2A935-1];ENSMUST00000070313.14 [A2A935-2];
A2A974	A2A974;		ENSMUST00000094887.4;
A2A9A2	A2A9A2;		ENSMUST00000061187.4;
A2A9C3			ENSMUST00000075406.12 [A2A9C3-1];
A2A9F4	A2A9F4;		ENSMUST00000042919.16;ENSMUST00000105901.2;
A2AA28	A2AA28;		ENSMUST00000106370.10;
A2AAE1			ENSMUST00000057272.15 [A2AAE1-1];ENSMUST00000152564.8 [A2AAE1-1];
A2AAJ9			ENSMUST00000238536.2 [A2AAJ9-1];
A2AAY5	A2AAY5;		ENSMUST00000038753.6;
A2ABV5	A2ABV5;	6W1S;8T1I;8T1L;	ENSMUST00000096495.11 [A2ABV5-1];
A2AC93	A2AC93;		ENSMUST00000069325.14 [A2AC93-1];ENSMUST00000092469.11 [A2AC93-1];
A2AD83	A2AD83;		ENSMUST00000060650.7;
A2AF47	A2AF47;		ENSMUST00000033419.13;
A2AG06	A2AG06;		ENSMUST00000100378.4 [A2AG06-1];
A2AG68			ENSMUST00000055941.7;
A2AGH6	A2AGH6;		ENSMUST00000087948.11 [A2AGH6-1];ENSMUST00000087956.6 [A2AGH6-2];
A2AGL3			ENSMUST00000080673.13 [A2AGL3-1];ENSMUST00000208151.2 [A2AGL3-2];
A2AGT5	A2AGT5;		
A2AH22	A2AH22;		ENSMUST00000045699.8 [A2AH22-7];ENSMUST00000045705.14 [A2AH22-1];ENSMUST00000099712.10 [A2AH22-2];ENSMUST00000111316.9 [A2AH22-6];ENSMUST00000111317.9 [A2AH22-7];
A2AHL1	A2AHL1;		ENSMUST00000099623.10 [A2AHL1-1];
A2AI05	A2AI05;		ENSMUST00000100329.10 [A2AI05-2];ENSMUST00000114349.9 [A2AI05-1];
A2AI08	A2AI08;		ENSMUST00000114336.4;
A2AI21	A2AI21;		ENSMUST00000114310.10;
A2AI57			ENSMUST00000028843.12;
A2AIP0	A2AIP0;	8TO0;	ENSMUST00000052829.10 [A2AIP0-5];ENSMUST00000107928.9 [A2AIP0-2];ENSMUST00000107929.10 [A2AIP0-1];
A2AIR5	A2AIR5;		ENSMUST00000076674.4 [A2AIR5-2];ENSMUST00000093859.11 [A2AIR5-1];
A2AIV2	A2AIV2;		ENSMUST00000055372.14 [A2AIV2-2];ENSMUST00000059914.13 [A2AIV2-1];
A2AIV8	A2AIV8;		ENSMUST00000028294.7;ENSMUST00000100303.10;
A2AIW0	A2AIW0;		ENSMUST00000028293.12 [A2AIW0-2];ENSMUST00000077983.13 [A2AIW0-3];ENSMUST00000114102.10 [A2AIW0-1];
A2AJ15	A2AJ15;		ENSMUST00000042390.5;
A2AJ76			ENSMUST00000113532.9 [A2AJ76-1];
A2AJ88	A2AJ88;		ENSMUST00000045295.14 [A2AJ88-1];
A2AJB7	A2AJB7;		ENSMUST00000028306.13 [A2AJB7-1];ENSMUST00000100312.10 [A2AJB7-2];ENSMUST00000100313.4 [A2AJB7-3];
A2AJK6			ENSMUST00000039267.10 [A2AJK6-1];ENSMUST00000051558.10 [A2AJK6-1];
A2AJN7	A2AJN7;		ENSMUST00000099362.11;
A2AJX4	A2AJX4;		ENSMUST00000146205.3;
A2AKK5	A2AKK5;		ENSMUST00000095086.3 [A2AKK5-1];ENSMUST00000107697.2 [A2AKK5-2];
A2AKQ0	A2AKQ0;		ENSMUST00000150285.8 [A2AKQ0-2];
A2AKX3	A2AKX3;		ENSMUST00000061578.9 [A2AKX3-1];
A2AL36	A2AL36;		ENSMUST00000028235.11 [A2AL36-2];ENSMUST00000028237.15 [A2AL36-1];ENSMUST00000156933.8 [A2AL36-1];
A2ALS5	A2ALS5;		ENSMUST00000047243.12 [A2ALS5-2];ENSMUST00000097837.11 [A2ALS5-3];
A2ALU4	A2ALU4;		ENSMUST00000062317.5 [A2ALU4-1];
A2ALV5	A2ALV5;		ENSMUST00000107547.2;
A2AM05	A2AM05;		ENSMUST00000047023.13 [A2AM05-1];ENSMUST00000102819.10 [A2AM05-2];ENSMUST00000107190.2 [A2AM05-3];ENSMUST00000169371.9 [A2AM05-4];
A2AM29	A2AM29;		ENSMUST00000078090.12;
A2AM78	A2AM78;		ENSMUST00000105817.4;
A2AMM0	A2AMM0;		ENSMUST00000030033.5;
A2AMT1	A2AMT1;		ENSMUST00000028907.14 [A2AMT1-2];ENSMUST00000099296.4 [A2AMT1-1];
A2AN08			ENSMUST00000097822.10 [A2AN08-1];ENSMUST00000165860.8 [A2AN08-3];
A2ANU3	A2ANU3;		ENSMUST00000109934.2;ENSMUST00000109935.8;
A2AP18	A2AP18;		ENSMUST00000105631.9 [A2AP18-1];ENSMUST00000135665.9 [A2AP18-4];ENSMUST00000145662.9 [A2AP18-5];
A2APB8	A2APB8;		ENSMUST00000028969.9;ENSMUST00000109816.8;ENSMUST00000164120.8;ENSMUST00000178997.8;
A2APC3	A2APC3;		ENSMUST00000099197.9 [A2APC3-1];ENSMUST00000103155.10 [A2APC3-2];
A2APF3	A2APF3;		ENSMUST00000094287.10 [A2APF3-1];
A2APM2	A2APM2;		ENSMUST00000005218.15;
A2APX8	A2APX8;		ENSMUST00000077489.12 [A2APX8-2];ENSMUST00000094951.10 [A2APX8-3];ENSMUST00000112366.8 [A2APX8-1];ENSMUST00000138910.4 [A2APX8-2];
A2AQ07	A2AQ07;		ENSMUST00000016399.6;
A2AQ19	A2AQ19;		ENSMUST00000028767.9;
A2AQ25	A2AQ25;		ENSMUST00000045555.11 [A2AQ25-3];ENSMUST00000066509.10 [A2AQ25-1];ENSMUST00000114606.8 [A2AQ25-6];ENSMUST00000114607.8 [A2AQ25-5];ENSMUST00000114608.3 [A2AQ25-2];ENSMUST00000114614.8 [A2AQ25-4];
A2AQ92	A2AQ92;	6WXR;6WXU;6WXV;	ENSMUST00000099461.4;
A2AQ99			ENSMUST00000053734.6;
A2AQL0	A2AQL0;		
A2AR95	A2AR95;	7N1H;	ENSMUST00000058790.12 [A2AR95-1];ENSMUST00000111222.2 [A2AR95-3];
A2ARA8	A2ARA8;		ENSMUST00000028106.11 [A2ARA8-1];
A2ARI4	A2ARI4;		ENSMUST00000046548.14 [A2ARI4-1];ENSMUST00000111037.3 [A2ARI4-2];
A2ARP1	A2ARP1;		ENSMUST00000052029.10 [A2ARP1-1];ENSMUST00000110625.8 [A2ARP1-3];ENSMUST00000110626.8 [A2ARP1-1];ENSMUST00000110627.8 [A2ARP1-3];ENSMUST00000110628.8 [A2ARP1-2];
A2ARP9	A2ARP9;	7EEB;	
A2ARV4		8EM4;8EM7;	ENSMUST00000080953.12;
A2AS55	A2AS55;		ENSMUST00000056108.12 [A2AS55-1];
A2AS89	A2AS89;		ENSMUST00000038161.5;
A2ASI5	A2ASI5;		ENSMUST00000100069.9 [A2ASI5-1];
A2ASQ1	A2ASQ1;	3PVE;	ENSMUST00000105575.9 [A2ASQ1-1];
A2ASS6		6YJ0;8Q6T;	ENSMUST00000099980.10 [A2ASS6-3];
A2ASZ8	A2ASZ8;		ENSMUST00000028160.15 [A2ASZ8-3];ENSMUST00000052119.14 [A2ASZ8-5];ENSMUST00000113307.9 [A2ASZ8-1];ENSMUST00000113308.8 [A2ASZ8-4];ENSMUST00000113310.9 [A2ASZ8-2];
A2AT37	A2AT37;		ENSMUST00000060092.13;
A2ATU9	A2ATU9;		ENSMUST00000112122.9;
A2AU37	A2AU37;		ENSMUST00000180195.8;
A2AU72	A2AU72;		ENSMUST00000114640.9 [A2AU72-1];
A2AUC9	A2AUC9;		ENSMUST00000100050.4;
A2AUM0			ENSMUST00000005233.12;
A2AUM9	A2AUM9;		ENSMUST00000089776.3;
A2AUU0	A2AUU0;		ENSMUST00000112179.9 [A2AUU0-5];ENSMUST00000112186.9 [A2AUU0-3];ENSMUST00000121586.8 [A2AUU0-1];ENSMUST00000148876.8 [A2AUU0-2];
A2AVA0			ENSMUST00000042850.9 [A2AVA0-1];
A2AVZ9	A2AVZ9;		ENSMUST00000090726.6 [A2AVZ9-1];
A2AWL7			ENSMUST00000046717.13 [A2AWL7-1];ENSMUST00000110773.9 [A2AWL7-3];ENSMUST00000156510.2 [A2AWL7-2];
A2AWP0	A2AWP0;		ENSMUST00000108875.2;
A2AX52	A2AX52;		ENSMUST00000121963.3;
A2BDX3	A2BDX3;		ENSMUST00000099071.5;
A2BH40	A2BH40;		ENSMUST00000008024.7 [A2BH40-4];ENSMUST00000105897.10 [A2BH40-1];
A2CG49		1WFW;7UR2;	ENSMUST00000076810.12 [A2CG49-1];ENSMUST00000089655.12 [A2CG49-8];ENSMUST00000114949.8 [A2CG49-10];ENSMUST00000114953.8 [A2CG49-5];ENSMUST00000114954.8 [A2CG49-5];ENSMUST00000114960.9 [A2CG49-9];ENSMUST00000232157.2 [A2CG49-4];
A2CG63	A2CG63;		ENSMUST00000039538.15 [A2CG63-2];ENSMUST00000110534.8 [A2CG63-1];ENSMUST00000110536.8 [A2CG63-2];
A2KF29	A2KF29;		
A2RSS9	A2RSS9;		
A2RST1	A2RST1;		ENSMUST00000099106.10;
A2RSY6	A2RSY6;		
A2RT67	A2RT67;	6B3Y;	ENSMUST00000043414.12;
A2RTF1	A2RTF1;	7EEB;	ENSMUST00000055156.5;
A3FIN4	A3FIN4;		ENSMUST00000102953.4 [A3FIN4-2];ENSMUST00000107942.9 [A3FIN4-1];
A3KFM7			ENSMUST00000039782.14 [A3KFM7-1];
A3KFX0	A3KFX0;		ENSMUST00000068262.6;
A3KG59	A3KG59;		ENSMUST00000098181.9 [A3KG59-1];ENSMUST00000119167.2 [A3KG59-2];
A3KG93	A3KG93;		ENSMUST00000105847.8;
A3KGF7	A3KGF7;		ENSMUST00000102524.8 [A3KGF7-1];
A3KGS3	A3KGS3;		ENSMUST00000131824.8 [A3KGS3-1];
A3KGV1	A3KGV1;		ENSMUST00000028128.13 [A3KGV1-6];ENSMUST00000046571.14 [A3KGV1-3];ENSMUST00000113755.8 [A3KGV1-5];ENSMUST00000113756.8 [A3KGV1-3];ENSMUST00000113757.8 [A3KGV1-2];ENSMUST00000113759.9 [A3KGV1-4];ENSMUST00000113763.8 [A3KGV1-6];ENSMUST00000113764.4 [A3KGV1-6];ENSMUST00000113765.8 [A3KGV1-1];
A3KMN0	A3KMN0;		
A4FUV6			
A4FUV7			
A4Q9E5	A4Q9E5;		ENSMUST00000032414.11 [A4Q9E5-1];ENSMUST00000204026.3 [A4Q9E5-2];
A4Q9E8	A4Q9E8;	6VZQ;6VZR;6VZS;6VZT;6VZU;6VZV;6VZW;8T42;8U3Z;	ENSMUST00000107680.2 [A4Q9E8-2];ENSMUST00000167258.8 [A4Q9E8-1];
A4Q9F0	A4Q9F0;		
A4Q9F1	A4Q9F1;		ENSMUST00000109371.8;
A4Q9F3	A4Q9F3;		
A4Q9F4	A4Q9F4;		ENSMUST00000028248.11 [A4Q9F4-1];ENSMUST00000112976.9 [A4Q9F4-2];
A4QPC6	A4QPC6;		ENSMUST00000110432.2 [A4QPC6-1];ENSMUST00000110433.10 [A4QPC6-1];
A4UUI3	A4UUI3;		ENSMUST00000100962.8 [A4UUI3-1];
A5D6P3			
A6H630	A6H630;		ENSMUST00000095893.11 [A6H630-1];ENSMUST00000117489.8 [A6H630-4];ENSMUST00000118544.8 [A6H630-2];
A6H687	A6H687;		
A6H6A9	A6H6A9;		ENSMUST00000028049.13 [A6H6A9-1];ENSMUST00000028052.12 [A6H6A9-3];ENSMUST00000195442.6 [A6H6A9-2];
A6H6E2	A6H6E2;		ENSMUST00000111908.3 [A6H6E2-1];
A6H8H2	A6H8H2;		ENSMUST00000082026.14 [A6H8H2-2];ENSMUST00000142837.3 [A6H8H2-1];
A6H8H5	A6H8H5;		ENSMUST00000170146.3;ENSMUST00000175681.3;
A6PWV3	A6PWV3;		ENSMUST00000107108.8 [A6PWV3-1];
A6X8Z5	A6X8Z5;		ENSMUST00000023487.5;
A6X935	A6X935;		ENSMUST00000120269.11 [A6X935-1];
A7L9Z8	A7L9Z8;		ENSMUST00000095171.5;
A7M7C7	A7M7C7;		ENSMUST00000166956.2;
A7MCT6	A7MCT6;		ENSMUST00000135222.9 [A7MCT6-1];
A7RDN6	A7RDN6;		
A7TZE6	A7TZE6;	2N4I;	ENSMUST00000117379.9 [A7TZE6-3];ENSMUST00000161389.8 [A7TZE6-2];ENSMUST00000162158.2 [A7TZE6-1];ENSMUST00000162885.8 [A7TZE6-4];
A8VU90	A8VU90;		ENSMUST00000119976.8 [A8VU90-1];ENSMUST00000120725.2 [A8VU90-2];
A9Q751	A9Q751;		ENSMUST00000037840.12;ENSMUST00000174370.8;
B0F2B4	B0F2B4;		
B0V2N1	B0V2N1;	3SR9;	ENSMUST00000067538.6 [B0V2N1-1];ENSMUST00000086828.10 [B0V2N1-3];ENSMUST00000223859.2 [B0V2N1-4];
B1AQJ2	B1AQJ2;		ENSMUST00000092382.10;ENSMUST00000106296.9;
B1AR17	B1AR17;		ENSMUST00000108661.8;
B1AS29	B1AS29;		ENSMUST00000030676.8;
B1ASB6	B1ASB6;	8OU1;	
B1ASP2	B1ASP2;		ENSMUST00000102781.10;
B1ATI0	B1ATI0;		ENSMUST00000066277.10;
B1AUH1	B1AUH1;		ENSMUST00000030741.9 [B1AUH1-1];ENSMUST00000105987.9 [B1AUH1-2];
B1AVY7	B1AVY7;		ENSMUST00000043589.8;
B1AWC8	B1AWC8;		ENSMUST00000106904.9;
B1AWC9	B1AWC9;		ENSMUST00000106911.8;
B1AWD0	B1AWD0;		ENSMUST00000097950.9;
B1AWD1	B1AWD1;		ENSMUST00000106901.2;
B1AWL2	B1AWL2;		ENSMUST00000098070.10;
B1AWN4	B1AWN4;		ENSMUST00000077659.6;
B1AWN6	B1AWN6;		ENSMUST00000028377.14;ENSMUST00000100067.7;
B1AWS8	B1AWS8;		ENSMUST00000102798.8;
B1AXD8	B1AXD8;		ENSMUST00000084299.6;
B1AXV0	B1AXV0;		ENSMUST00000053681.6;
B1AY10	B1AY10;		ENSMUST00000030133.15 [B1AY10-3];ENSMUST00000091614.7 [B1AY10-2];ENSMUST00000098143.11 [B1AY10-1];
B1AY15	B1AY15;		ENSMUST00000095755.4;
B1AYL1	B1AYL1;		ENSMUST00000042792.7;
B1AZ99	B1AZ99;		ENSMUST00000097830.4;
B1AZI6	B1AZI6;		ENSMUST00000047037.15;
B1AZP2	B1AZP2;		ENSMUST00000070782.13 [B1AZP2-2];ENSMUST00000099145.6 [B1AZP2-3];ENSMUST00000109567.10 [B1AZP2-2];ENSMUST00000169464.9 [B1AZP2-1];
B1B0V2	B1B0V2;		ENSMUST00000101698.4 [B1B0V2-2];ENSMUST00000117544.2 [B1B0V2-1];
B1GX80	B1GX80;		
B1GX81	B1GX81;		
B2KF05	B2KF05;		ENSMUST00000004985.11 [B2KF05-1];ENSMUST00000233701.2 [B2KF05-2];
B2MWM9	B2MWM9;		
B2RPW6	B2RPW6;		
B2RPY5	B2RPY5;		ENSMUST00000178700.8 [B2RPY5-1];
B2RQC6	B2RQC6;		ENSMUST00000013773.12 [B2RQC6-1];ENSMUST00000201182.4 [B2RQC6-2];
B2RQL2	B2RQL2;		ENSMUST00000133371.8;
B2RQQ7			
B2RQR8	B2RQR8;		ENSMUST00000003898.12 [B2RQR8-1];ENSMUST00000133344.8 [B2RQR8-2];
B2RR30	B2RR30;		
B2RR83	B2RR83;		ENSMUST00000037763.11;
B2RRD7	B2RRD7;		ENSMUST00000113122.8;
B2RRE7	B2RRE7;		ENSMUST00000173078.8;
B2RS91	B2RS91;		ENSMUST00000023363.8;
B2RSH2	B2RSH2;	7TD0;7TD1;7TD2;7TD3;7TD4;8FX5;	ENSMUST00000074694.7;
B2RU80	B2RU80;		ENSMUST00000092167.7;
B2RUG9			ENSMUST00000079362.13;
B2RUJ5	B2RUJ5;	6LNM;	ENSMUST00000025830.9 [B2RUJ5-1];ENSMUST00000237688.2 [B2RUJ5-2];
B2RUP2	B2RUP2;		ENSMUST00000075036.9 [B2RUP2-2];ENSMUST00000106450.8 [B2RUP2-1];ENSMUST00000106451.8 [B2RUP2-1];ENSMUST00000174822.8 [B2RUP2-2];
B2RUR8	B2RUR8;		ENSMUST00000035519.12;ENSMUST00000090785.9;ENSMUST00000098849.3;
B2RUS7			ENSMUST00000033123.8;
B2RVY9	B2RVY9;		ENSMUST00000114765.4;
B2RW38	B2RW38;		ENSMUST00000066308.9;
B2RWS6	B2RWS6;		ENSMUST00000068387.11;
B2RX12	B2RX12;		ENSMUST00000021231.8 [B2RX12-2];ENSMUST00000178136.8 [B2RX12-1];
B2RX14	B2RX14;		ENSMUST00000043368.12;
B2RX88	B2RX88;		ENSMUST00000071087.12 [B2RX88-4];ENSMUST00000117415.8 [B2RX88-6];ENSMUST00000118263.8 [B2RX88-6];ENSMUST00000119714.8 [B2RX88-6];ENSMUST00000122156.8 [B2RX88-5];ENSMUST00000186294.7 [B2RX88-2];
B2RXA7	B2RXA7;		ENSMUST00000073391.5;
B2RXC2		2AQX;	ENSMUST00000070181.7;
B2RXE2	B2RXE2;		ENSMUST00000073149.7;
B2RXS4	B2RXS4;	5E6P;7KDC;	ENSMUST00000060808.10;ENSMUST00000109331.9;
B2RXV4	B2RXV4;		ENSMUST00000085635.6 [B2RXV4-1];
B2RXX8			
B2RXZ1	B2RXZ1;		ENSMUST00000163394.3;
B2RY04	B2RY04;		ENSMUST00000039135.6;
B2RY50	B2RY50;		ENSMUST00000081275.5;ENSMUST00000234788.2;
B5KM66	B5KM66;	4R3Q;6H86;	ENSMUST00000109314.9;ENSMUST00000167959.2;
B5TVM2	B5TVM2;		ENSMUST00000111416.7 [B5TVM2-1];ENSMUST00000192638.6 [B5TVM2-4];ENSMUST00000192732.6 [B5TVM2-3];ENSMUST00000193860.2 [B5TVM2-5];ENSMUST00000194964.6 [B5TVM2-2];
B5X0E4	B5X0E4;		ENSMUST00000035515.5 [B5X0E4-1];
B6VGH4	B6VGH4;		
B7XGA6	B7XGA6;		
